Count_of_images:;109;;;;;;;;;;
Picture;Response;Number_of_dice;Results;;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103516.png;correct;7D;6;1;1;3;1;3;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103524.png;correct;7D;2;3;5;6;3;1;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103534.png;clustering;6D;3;1;7;4;2;1;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103544.png;clustering;6D;1;3;12;6;3;4;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103553.png;correct;7D;5;1;3;6;5;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103604.png;correct;7D;5;5;1;5;6;3;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103613.png;correct;7D;2;1;4;2;1;5;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103639.png;correct;9D;1;1;2;4;4;4;4;2;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103653.png;correct;9D;5;6;2;5;3;2;1;2;6
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103706.png;correct;9D;2;2;2;1;4;1;5;5;3
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103714.png;correct;9D;4;5;2;2;4;6;3;5;3
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103723.png;correct;9D;3;5;2;5;4;2;1;1;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103738.png;clustering;8D;6;1;1;8;3;6;5;1;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103747.png;correct;9D;4;3;1;3;4;6;4;5;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103755.png;correct;9D;3;2;6;2;3;6;1;1;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103804.png;clustering;7D;2;11;4;3;3;6;5;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103813.png;correct;9D;5;1;4;2;3;4;2;4;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103825.png;clustering;8D;1;3;6;6;3;5;8;4;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103843.png;correct;9D;2;1;5;1;6;4;3;6;1
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103852.png;correct;9D;2;5;3;6;1;6;1;4;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103901.png;correct;9D;4;6;2;2;3;3;4;2;2
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103910.png;correct;9D;5;4;1;1;1;5;3;5;4
C://Users/acer/Pictures/Pictures/Screenshot_20221208-103922.png;clustering;8D;1;6;2;3;3;5;2;4;
